--------------------------------------------------		
Open Site Explorer - Linking Domain Report for http://projectmanagement.com		
Generated at Wed Mar 8 00:44:10 -08:00 2017		
--------------------------------------------------		
		
Root Domain	Domain Authority	Number of Linking Root Domains
pmi.org/	85	6593
ca.com/	85	8477
techtarget.com/	83	21138
tripod.com/	75	87690
buff.ly/	61	5747
techwell.com/	59	661
texterity.com/	58	1205
tweetarchivist.com/	56	451
klear.com/	54	1660
projectmanagement.com/	53	698
girlsguidetopm.com/	50	273
prlog.ru/	50	782
markspaneth.com/	41	113
projectmanagementhacks.com/	39	117
hmbnet.com/	37	54
pmimilehi.org/	34	26
connerpartners.com/	32	94
pmiam.org/	31	16
pmi.on.ca/	31	49
boston-spin.org/	29	30
pmiovoc.org/	27	27
pmnetwork-digital.com/	25	55
pmicajamarca.org/	25	9
pminj.org/	25	28
edward-designer.com/	25	50
pmi-nic.org/	25	46
pminl.ca/	22	8
pmi-neic.org/	21	8
portalgsti.com.br/	20	29
pmitoday-digital.com/	19	27
successpmp.com/	10	2
cipm.dk/	10	1
